username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Hannah Hamilton,1556468272945475584,"Phoenix, AZ",2023-01-15 04:44:17,@minakimes Seahawks are 🗑,0,Twitter for iPhone,
Preston Thymes,2411372797,"Scottsdale, AZ",2023-01-15 04:30:53,"My job is playing one of my all-time California soft rock love songs rn and im in total disbelief 😍

#NinerGang… https://t.co/b7gUFLMzo7",0,Twitter for Android,
Jared Brandt,41120942,Phoenix,2023-01-15 04:09:57,@_Tariqwoolen @Seahawks @12s Thank you Tariq. Thank. You.,0,Twitter for iPhone,
Ryan Watson,780675576,,2023-01-15 03:51:44,@tuna_pig @BenKaplanTV @broncobadger @PeteCarroll @Seahawks Have fun in 2024,0,Twitter for iPhone,
DT in PHX,76126939,"Goodyear, AZ",2023-01-15 03:51:39,@NorbCam @Seahawks Jewish space lasers.,0,Twitter for iPhone,
Reuben Juarez,501406814,"Phoenix, AZ",2023-01-15 03:49:38,At the beginning of the game they had @wizkhalifa on tv and he said him and @dkm14 do the same workouts and at that… https://t.co/TvqrSmYEFH,0,Twitter for iPhone,
Jacob Alvord,935007457,"Phoenix, AZ",2023-01-15 03:28:16,@NotSaulGoodMan_ @gray_or_grey @NFL @Seahawks Ad hominem,0,Twitter for Android,
Vik Puri,1544516182367031296,"Phoenix, AZ",2023-01-15 03:25:39,How much is Paul Allen’s passing and Seattle turning into Woke Cesspit factoring in Seahawks performance? https://t.co/pM0ItzGp41,0,Twitter for iPhone,
Hannah Hamilton,1556468272945475584,"Phoenix, AZ",2023-01-15 03:12:12,@Seahawks @Toyota You’re 🗑,0,Twitter for iPhone,
ᴱᵛᵃⁿ 🫥,1349454421390893056,"Phoenix, AZ",2023-01-15 02:34:02,@jacobsports12 Tbh Seahawks played a elite team and had nothing to lose,0,Twitter for iPhone,
Arizona Sports,21514559,"Phoenix, Arizona",2023-01-15 02:30:38,"Purdy good from the Valley native!
https://t.co/7i6mwZtI2a",1,TweetDeck,
J Shirk,1528842607,"Peoria, AZ",2023-01-15 02:30:23,@_Tariqwoolen @Seahawks @12s Thank you for a fantastic season.  Can’t wait to watch and root for you for years to come!!!!,0,Twitter for iPhone,
Preston Thymes,2411372797,"Scottsdale, AZ",2023-01-15 02:11:59,"So proud AZ boy and Gilbert Perry High alum @brockpurdy13
for ballin' tf out for #49ers on the big stage as a rooki… https://t.co/9xWdG2AF5B",0,Twitter for Android,
Ernie Green 〽️,25042074,"Scottsdale, AZ",2023-01-15 02:05:10,This looks like the defensive game plan Seahawks had against Peyton in SB,0,Twitter for iPhone,
